fecha,temperatura,ph,oxigeno,dia_semana,mes,hora,es_fin_semana
2024-02-29 15:00:00,18.8,7.94,7.55,3,2,15,0
2024-03-01 15:40:00,19.0,7.90,7.40,4,3,15,0
2024-03-02 15:00:00,19.0,8.07,7.60,5,3,15,1
2024-03-04 15:20:00,18.4,8.03,8.01,0,3,15,0
2024-03-05 15:00:00,17.8,8.06,8.56,1,3,15,0
2024-03-06 15:00:00,17.9,8.13,8.00,2,3,15,0
2024-03-07 15:00:00,17.5,8.13,8.40,3,3,15,0
2024-03-08 15:00:00,16.6,8.07,8.36,4,3,15,0
2024-03-09 15:00:00,15.8,8.04,8.88,5,3,15,1
2024-03-11 15:00:00,16.3,8.02,9.11,0,3,15,0
2024-03-13 15:00:00,16.1,8.00,9.04,2,3,15,0
2024-03-15 15:00:00,15.0,8.00,9.65,4,3,15,0
2024-03-18 15:00:00,14.6,8.04,9.87,0,3,15,0
2024-03-19 15:20:00,14.5,8.03,10.04,1,3,15,0
2024-03-20 15:00:00,14.7,7.99,9.25,2,3,15,0
2024-03-21 15:00:00,16.0,8.09,9.06,3,3,15,0
2024-03-22 15:00:00,15.6,7.95,8.73,4,3,15,0
2024-03-25 15:00:00,15.5,7.80,8.73,0,3,15,0
2024-03-26 15:00:00,15.3,7.82,8.71,1,3,15,0
2024-03-27 15:00:00,15.0,7.87,8.78,2,3,15,0
2024-03-28 15:23:00,15.5,7.96,8.81,3,3,15,0
2024-03-29 15:12:00,15.1,7.86,8.53,4,3,15,0
2024-03-30 15:10:00,15.9,7.91,8.39,5,3,15,1
2024-04-01 15:03:00,14.2,7.88,8.80,0,4,15,0
2024-04-02 16:50:00,14.7,7.90,8.75,1,4,16,0
2024-04-03 15:08:00,14.2,7.84,8.75,2,4,15,0
2024-04-04 15:51:00,14.4,8.01,9.06,3,4,15,0
2024-04-05 15:08:00,14.2,8.00,7.98,4,4,15,0
2024-04-11 16:18:00,13.8,8.07,8.11,3,4,16,0
2024-04-15 15:05:00,14.6,8.04,8.12,0,4,15,0
2024-04-16 15:35:00,15.6,8.08,9.36,1,4,15,0
2024-04-17 15:03:00,14.9,7.98,9.28,2,4,15,0
2024-04-19 15:13:00,14.0,7.91,8.80,4,4,15,0
2024-04-20 16:00:00,13.3,7.97,9.56,5,4,16,1
2024-04-23 16:00:00,15.8,7.98,8.47,1,4,16,0
2024-04-25 15:00:00,14.2,7.97,8.93,3,4,15,0
2024-04-29 15:04:00,13.6,7.97,9.58,0,4,15,0
2024-04-30 15:00:00,14.4,8.04,9.63,1,4,15,0
2024-05-03 15:00:00,13.2,7.89,7.40,4,5,15,0
2024-05-06 15:10:00,13.6,7.93,7.21,0,5,15,0
2024-05-08 15:04:00,13.5,7.96,7.27,2,5,15,0
2024-05-10 15:02:00,13.1,7.88,9.20,4,5,15,0
2024-05-13 15:00:00,12.9,7.90,9.45,0,5,15,0
2024-05-14 15:01:00,12.5,7.88,9.40,1,5,15,0
2024-05-15 15:08:00,12.5,7.91,9.56,2,5,15,0
2024-05-16 15:05:00,13.2,7.90,9.30,3,5,15,0
2024-05-17 15:07:00,12.8,7.81,8.60,4,5,15,0
2024-05-18 15:00:00,13.0,7.85,8.48,5,5,15,1
2024-05-22 15:10:00,11.8,7.90,8.75,2,5,15,0
2024-05-23 15:10:00,12.7,7.91,9.02,3,5,15,0
2024-05-24 15:00:00,11.8,7.88,8.74,4,5,15,0
2024-05-27 15:08:00,13.2,7.91,8.38,0,5,15,0
2024-05-28 15:11:00,13.3,7.97,8.65,1,5,15,0
2024-05-29 15:00:00,13.4,6.90,8.53,2,5,15,0
2024-05-30 15:50:00,13.3,8.02,9.20,3,5,15,0
2024-05-31 15:22:00,12.6,8.05,9.20,4,5,15,0
2024-06-01 15:21:00,13.2,8.02,8.99,5,6,15,1
2024-06-04 15:26:00,12.3,7.94,9.32,1,6,15,0
2024-06-06 15:30:00,12.6,7.98,9.17,3,6,15,0
2024-06-10 15:00:00,13.36,8.00,8.14,0,6,15,0
2024-06-11 15:06:00,13.6,8.02,8.11,1,6,15,0
2024-06-17 15:03:00,13.83,7.96,8.53,0,6,15,0
2024-06-19 16:04:00,15.23,8.06,8.08,2,6,16,0
2024-06-22 15:30:00,14.14,8.03,8.26,5,6,15,1
2024-06-24 15:40:00,13.66,8.03,8.51,0,6,15,0
2024-06-26 15:02:00,13.74,7.97,8.58,2,6,15,0
2024-06-27 15:06:00,13.67,7.99,8.40,3,6,15,0
2024-06-28 15:35:00,13.69,8.01,8.42,4,6,15,0
2024-06-29 15:45:00,13.46,7.96,8.40,5,6,15,1
2024-07-01 15:00:00,13.3,7.93,9.09,0,7,15,0
2024-07-03 15:05:00,13.11,7.91,8.82,2,7,15,0
2024-07-05 15:05:00,11.69,7.86,9.40,4,7,15,0
2024-07-08 15:00:00,11.55,7.91,8.83,0,7,15,0
2024-07-10 15:00:00,11.98,7.92,8.44,2,7,15,0
2024-07-12 15:01:00,12.25,7.95,8.65,4,7,15,0
2024-07-15 15:05:00,11.05,7.98,9.28,0,7,15,0
2024-07-17 15:08:00,12.4,7.94,8.60,2,7,15,0
2024-07-18 15:00:00,12.1,7.92,8.88,3,7,15,0
2024-07-19 15:00:00,12.3,8.00,9.09,4,7,15,0
2024-07-20 15:05:00,11.85,7.88,9.02,5,7,15,1
2024-07-22 15:12:00,12.68,7.94,9.15,0,7,15,0
2024-07-23 15:33:00,12.6,8.03,9.73,1,7,15,0
2024-07-24 15:02:00,13.15,8.03,9.48,2,7,15,0
2024-07-26 15:22:00,12.09,7.94,9.32,4,7,15,0
2024-07-29 15:08:00,12.73,7.95,8.93,0,7,15,0
2024-07-30 15:00:00,12.5,7.98,9.09,1,7,15,0
2024-07-31 15:31:00,12.28,7.90,8.73,2,7,15,0
2024-08-03 15:00:00,13.8,8.06,8.53,5,8,15,1
2024-08-05 15:00:00,12.28,8.05,9.55,0,8,15,0
2024-08-06 16:54:00,13.6,8.13,9.10,1,8,16,0
2024-08-07 15:45:00,13.17,8.07,8.66,2,8,15,0
2024-08-08 15:11:00,13.2,8.13,9.10,3,8,15,0
2024-08-09 15:00:00,13.36,8.08,8.90,4,8,15,0
2024-08-12 15:28:00,13.83,8.10,8.70,0,8,15,0
2024-08-13 15:30:00,13.4,8.06,9.31,1,8,15,0
2024-08-14 15:15:00,13.02,8.02,8.90,2,8,15,0
2024-08-16 15:54:00,12.5,8.01,9.16,4,8,15,0
2024-08-19 15:08:00,12.83,8.04,9.89,0,8,15,0
2024-08-20 15:20:00,12.36,8.01,9.63,1,8,15,0
2024-08-21 16:38:00,11.93,8.00,9.30,2,8,16,0
2024-08-22 16:30:00,13.26,8.07,8.82,3,8,16,0
2024-08-23 15:32:00,13.08,8.05,9.50,4,8,15,0
2024-08-24 15:00:00,13.26,8.07,9.20,5,8,15,1
2024-08-26 15:25:00,13.63,8.00,8.90,0,8,15,0
2024-08-28 15:26:00,12.1,7.95,9.22,2,8,15,0
2024-08-29 15:32:00,12.8,8.01,9.01,3,8,15,0
2024-08-30 15:09:00,13.68,8.04,8.82,4,8,15,0
2024-09-02 15:10:00,13.41,8.04,8.92,0,9,15,0
2024-09-04 15:03:00,12.99,8.00,8.92,2,9,15,0
2024-09-05 16:50:00,13.3,7.92,9.35,3,9,16,0
2024-09-06 15:36:00,13.1,7.97,9.89,4,9,15,0
2024-09-07 16:41:00,12.5,7.91,10.29,5,9,16,1
2024-09-09 15:00:00,13.17,7.99,9.90,0,9,15,0
2024-09-10 15:00:00,13.4,7.89,9.35,1,9,15,0
2024-09-11 15:40:00,13.7,7.90,9.56,2,9,15,0
2024-09-12 15:14:00,13.17,7.92,9.54,3,9,15,0
2024-09-16 15:29:00,12.88,7.87,8.40,0,9,15,0
2024-09-20 15:15:00,13.19,7.86,8.40,4,9,15,0
2024-09-23 15:14:00,14.18,7.92,8.32,0,9,15,0
2024-09-25 15:03:00,13.77,7.87,8.29,2,9,15,0
2024-09-27 15:02:00,13.38,7.87,7.05,4,9,15,0
2024-09-28 15:06:00,13.07,7.86,6.82,5,9,15,1
2024-09-30 15:07:00,14.11,7.82,8.40,0,9,15,0
2024-10-02 15:18:00,14.77,7.97,8.88,2,10,15,0
2024-10-28 15:12:00,16.48,8.03,8.44,0,10,15,0
2024-11-04 16:48:00,14.91,7.87,8.87,0,11,16,0
2024-11-06 15:28:00,15.07,7.93,8.75,2,11,15,0
2024-11-08 15:05:00,15.2,7.93,8.38,4,11,15,0
2024-11-09 15:05:00,14.7,7.93,8.46,5,11,15,1
2024-11-11 15:27:00,15.2,7.97,8.48,0,11,15,0
2024-11-13 14:00:00,14.2,7.78,8.16,2,11,14,0
2024-11-15 15:15:00,13.76,7.91,8.25,4,11,15,0
2024-11-19 15:10:00,15.4,7.95,8.26,1,11,15,0
2024-11-20 15:03:00,15.21,7.90,8.21,2,11,15,0
2024-11-25 15:43:00,15.7,7.88,8.33,0,11,15,0
2024-11-27 15:10:00,16.21,7.91,8.16,2,11,15,0
2024-12-02 15:09:00,16.2,7.94,7.92,0,12,15,0
2024-12-04 15:35:00,15.28,7.90,8.14,2,12,15,0
2024-12-05 15:58:00,16.43,7.96,7.90,3,12,15,0
2024-12-06 15:21:00,16.85,7.98,7.44,4,12,15,0
2024-12-16 16:45:00,16.4,7.98,8.17,0,12,16,0
2024-12-18 16:18:00,15.86,7.91,8.30,2,12,16,0
2024-12-20 15:05:00,16.02,7.86,8.05,4,12,15,0
2024-12-23 15:16:00,17.66,7.90,7.80,0,12,15,0
2024-12-27 15:10:00,17.07,7.85,7.93,4,12,15,0
2024-12-30 15:09:00,17.62,7.80,7.73,0,12,15,0
